CATEGORY,ITEM,ISSUE
APPLIANCES,Airconditioning,Dripping inside
APPLIANCES,Airconditioning,Dripping Outside
APPLIANCES,Airconditioning,Making noises 
APPLIANCES,Airconditioning,New airconditioner
APPLIANCES,Airconditioning,Not heating/cooling 
APPLIANCES,Airconditioning,Not working 
APPLIANCES,Airconditioning,Remote control
APPLIANCES,Cook Top - Electric,Element not working 
APPLIANCES,Cook Top - Electric,Knobs broken
APPLIANCES,Cook Top - Electric,New electic cook top
APPLIANCES,Cook Top - Electric,Not working 
APPLIANCES,Cook Top - Gas,Element not working 
APPLIANCES,Cook Top - Gas,Gas not igniting 
APPLIANCES,Cook Top - Gas,Knobs broken
APPLIANCES,Cook Top - Gas,New gas cook top
APPLIANCES,Cook Top - Gas,Not working 
APPLIANCES,Dishwasher,Cycle not completeing 
APPLIANCES,Dishwasher,Door broken 
APPLIANCES,Dishwasher,Handle broken
APPLIANCES,Dishwasher,New dishwasher
APPLIANCES,Dishwasher,Not working 
APPLIANCES,Dishwasher,Water not draining 
APPLIANCES,Dryer,New clothes dryer
APPLIANCES,Dryer,Not working 
APPLIANCES,Oven - Electric,Control knobs missing 
APPLIANCES,Oven - Electric,Fan not working 
APPLIANCES,Oven - Electric,Making noises 
APPLIANCES,Oven - Electric,New electric oven
APPLIANCES,Oven - Electric,Not heating up 
APPLIANCES,Oven - Electric,Not working 
APPLIANCES,Oven - Electric,Overheating 
APPLIANCES,Oven - Electric,Seal 
APPLIANCES,Oven - Gas,Control knobs missing 
APPLIANCES,Oven - Gas,Fan not working 
APPLIANCES,Oven - Gas,Making noises 
APPLIANCES,Oven - Gas,New gas oven
APPLIANCES,Oven - Gas,Not heating up 
APPLIANCES,Oven - Gas,Not working 
APPLIANCES,Oven - Gas,Overheating 
APPLIANCES,Oven - Gas,Seal 
APPLIANCES,Rangehood,Lights not working 
APPLIANCES,Rangehood,Making noises 
APPLIANCES,Rangehood,New rangehood
APPLIANCES,Rangehood,Not retracting
APPLIANCES,Rangehood,Not working 
APPLIANCES,Washing Machine,New washing machine
APPLIANCES,Washing Machine,Not working 
CARPORT/GARAGE,Carport,Damaged floor
CARPORT/GARAGE,Carport,Damaged posts
CARPORT/GARAGE,Carport,Damaged roof
CARPORT/GARAGE,Carport,New carport
CARPORT/GARAGE,Garage Door,Door broken 
CARPORT/GARAGE,Garage Door,Door damage 
CARPORT/GARAGE,Garage Door,Door jamming 
CARPORT/GARAGE,Garage Door,General service
CARPORT/GARAGE,Garage Door,Keys missing 
CARPORT/GARAGE,Garage Door,New door
CARPORT/GARAGE,Garage Door,Remote not working 
CLEANING,Carpets,Cleaning
CLEANING,Carport,Pressure clean
CLEANING,Driveway,Pressure clean
CLEANING,Floors,Cleaning
CLEANING,Garage Floor,Pressure clean
CLEANING,Gutters,Clean gutters
CLEANING,Paths,Pressure clean
CLEANING,Patio,Pressure clean
CLEANING,Pool area,Clean the pool
CLEANING,Pool area,Pressure clean
CLEANING,Walls,Cleaning
CLEANING,Window Furnishings,Cleaning
ELECTRICAL,Ceiling Fan,Fan not secure 
ELECTRICAL,Ceiling Fan,Faulty switch
ELECTRICAL,Ceiling Fan,Making noises 
ELECTRICAL,Ceiling Fan,New ceiling fan
ELECTRICAL,Ceiling Fan,Not working 
ELECTRICAL,Ceiling Fan,Remote control
ELECTRICAL,Extractor Fan,Fan not working 
ELECTRICAL,Extractor Fan,Faulty switch
ELECTRICAL,Extractor Fan,Making excessive noises 
ELECTRICAL,Extractor Fan,New extractor fan
ELECTRICAL,Extractor Fan,Not working 
ELECTRICAL,Hot Water System - Electric,New electric hot water system
ELECTRICAL,Hot Water System - Electric,No hot water 
ELECTRICAL,Hot Water System - Electric,No power 
ELECTRICAL,Hot Water System - Electric,Tripping switchboard 
ELECTRICAL,Hot Water System - Gas,No power 
ELECTRICAL,Hot Water System - Gas,Tripping switchboard 
ELECTRICAL,Light/Fan Combo,Blown bulb 
ELECTRICAL,Light/Fan Combo,Faulty switch
ELECTRICAL,Light/Fan Combo,Flickering light 
ELECTRICAL,Light/Fan Combo,New light/fan combo
ELECTRICAL,Light/Fan Combo,Not working 
ELECTRICAL,Light/Fan Combo,Remote control
ELECTRICAL,Light/Fan/Heat Combo,Blown bulb 
ELECTRICAL,Light/Fan/Heat Combo,Fan not working 
ELECTRICAL,Light/Fan/Heat Combo,Faulty switch
ELECTRICAL,Light/Fan/Heat Combo,Flickering light 
ELECTRICAL,Light/Fan/Heat Combo,Lights not working 
ELECTRICAL,Light/Fan/Heat Combo,Making excessive noises 
ELECTRICAL,Light/Fan/Heat Combo,New light/fan/heat combo
ELECTRICAL,Light/Fan/Heat Combo,Not heating
ELECTRICAL,Light/Fan/Heat Combo,Not working 
ELECTRICAL,Lights,Blown bulb 
ELECTRICAL,Lights,Broken socket
ELECTRICAL,Lights,Faulty light switch 
ELECTRICAL,Lights,Flickering light 
ELECTRICAL,Lights,New lights
ELECTRICAL,Lights,Not working 
ELECTRICAL,Power Points,Faulty power point 
ELECTRICAL,Power Points,New power point
ELECTRICAL,Power Points,Not working 
ELECTRICAL,Smoke Alarms,Beeping alarm 
ELECTRICAL,Smoke Alarms,Legislation requirement 
ELECTRICAL,Smoke Alarms,Missing alarm 
ELECTRICAL,Smoke Alarms,New property
ELECTRICAL,Smoke Alarms,New tenant
ELECTRICAL,Smoke Alarms,Tenancy renewal
ELECTRICAL,Switchboard,Energex Defect Report 
ELECTRICAL,Switchboard,New safety switch 
ELECTRICAL,Switchboard,New switchboard
ELECTRICAL,Switchboard,Not working 
ELECTRICAL,Switchboard,Safety switch not working
ELECTRICAL,Switchboard,Safety switch tripping
ELECTRICAL,TV Antenna,New antenna 
ELECTRICAL,TV Antenna,Not working 
EXTERNAL SURFACES/STRUCTURES,Clothesline,Broken clothesline 
EXTERNAL SURFACES/STRUCTURES,Clothesline,New clothesline 
EXTERNAL SURFACES/STRUCTURES,Clothesline,Strings broken 
EXTERNAL SURFACES/STRUCTURES,Concreting,New concrete
EXTERNAL SURFACES/STRUCTURES,Driveway,Damaged driveway
EXTERNAL SURFACES/STRUCTURES,Driveway,New driveway
EXTERNAL SURFACES/STRUCTURES,Fence,Broken pailing 
EXTERNAL SURFACES/STRUCTURES,Fence,Fallen fence 
EXTERNAL SURFACES/STRUCTURES,Fence,New fence
EXTERNAL SURFACES/STRUCTURES,Fence - Pool,Fence damage
EXTERNAL SURFACES/STRUCTURES,Fence - Pool,New fence
EXTERNAL SURFACES/STRUCTURES,Gate,Broken pailing 
EXTERNAL SURFACES/STRUCTURES,Gate,Fallen off hinges 
EXTERNAL SURFACES/STRUCTURES,Gate,Latch broken 
EXTERNAL SURFACES/STRUCTURES,Gate,New gate
EXTERNAL SURFACES/STRUCTURES,Gate,Not closing 
EXTERNAL SURFACES/STRUCTURES,Gutters,Damaged gutters
EXTERNAL SURFACES/STRUCTURES,Gutters,New gutters
EXTERNAL SURFACES/STRUCTURES,House,House wash
EXTERNAL SURFACES/STRUCTURES,Paths,Damaged path
EXTERNAL SURFACES/STRUCTURES,Paths,New path
EXTERNAL SURFACES/STRUCTURES,Patio,Damaged floor
EXTERNAL SURFACES/STRUCTURES,Patio,Damaged posts
EXTERNAL SURFACES/STRUCTURES,Patio,Damaged roof
EXTERNAL SURFACES/STRUCTURES,Patio,New floor
EXTERNAL SURFACES/STRUCTURES,Patio,New posts
EXTERNAL SURFACES/STRUCTURES,Patio,New roof
EXTERNAL SURFACES/STRUCTURES,Pool area,Damaged surface
EXTERNAL SURFACES/STRUCTURES,Roof,Damaged roof
EXTERNAL SURFACES/STRUCTURES,Roof,Leaking roof
EXTERNAL SURFACES/STRUCTURES,Roof,New roof
EXTERNAL SURFACES/STRUCTURES,Stairs,Broken rail 
EXTERNAL SURFACES/STRUCTURES,Stairs,Broken stairs 
EXTERNAL SURFACES/STRUCTURES,Stairs,Loose rail 
EXTERNAL SURFACES/STRUCTURES,Stairs,Loose stairs 
EXTERNAL SURFACES/STRUCTURES,Stairs,New rail 
EXTERNAL SURFACES/STRUCTURES,Stairs,New stairs
EXTERNAL SURFACES/STRUCTURES,Stairs,Rotten rail 
EXTERNAL SURFACES/STRUCTURES,Stairs,Rotten stairs 
PAINTING,Ceiling,New paint
PAINTING,Ceiling,Peeled or worn paint 
PAINTING,Doors,New paint
